Run #,Timestamp,Confidence,Label
1,2025-04-08 14:45:53,59.53,Unknown
2,2025-04-08 14:45:53,59.39,Unknown
3,2025-04-08 14:45:53,57.67,Unknown
4,2025-04-08 14:45:53,56.92,Unknown
5,2025-04-08 14:45:53,57.56,Unknown
6,2025-04-08 14:45:53,57.32,Unknown
7,2025-04-08 14:45:53,55.4,Unknown
8,2025-04-08 14:45:53,56.16,Unknown
9,2025-04-08 14:45:53,56.55,Unknown
10,2025-04-08 14:45:54,56.95,Unknown
11,2025-04-08 14:45:54,55.63,Unknown
12,2025-04-08 14:45:54,56.14,Unknown
13,2025-04-08 14:45:54,55.72,Unknown
14,2025-04-08 14:45:54,56.5,Unknown
15,2025-04-08 14:45:54,56.84,Unknown
16,2025-04-08 14:45:54,57.25,Unknown
17,2025-04-08 14:45:54,55.99,Unknown
18,2025-04-08 14:45:54,56.75,Unknown
19,2025-04-08 14:45:54,55.25,Unknown
20,2025-04-08 14:45:54,55.4,Unknown
21,2025-04-08 14:45:54,56.32,Unknown
22,2025-04-08 14:45:54,56.54,Unknown
23,2025-04-08 14:45:54,56.35,Unknown
24,2025-04-08 14:45:54,55.82,Unknown
25,2025-04-08 14:45:54,56.39,Unknown
26,2025-04-08 14:45:54,55.75,Unknown
27,2025-04-08 14:45:54,56.32,Unknown
28,2025-04-08 14:45:55,57.29,Unknown
29,2025-04-08 14:45:55,55.68,Unknown
30,2025-04-08 14:45:55,57.1,Unknown
31,2025-04-08 14:45:55,55.67,Unknown
32,2025-04-08 14:45:55,55.17,Unknown
33,2025-04-08 14:45:55,56.77,Unknown
34,2025-04-08 14:45:55,56.92,Unknown
35,2025-04-08 14:45:55,56.17,Unknown
36,2025-04-08 14:45:55,55.19,Unknown
37,2025-04-08 14:45:55,57.01,Unknown
38,2025-04-08 14:45:55,57.06,Unknown
39,2025-04-08 14:45:55,56.8,Unknown
40,2025-04-08 14:45:55,56.64,Unknown
41,2025-04-08 14:45:55,56.26,Unknown
42,2025-04-08 14:45:55,56.05,Unknown
43,2025-04-08 14:45:55,56.75,Unknown
44,2025-04-08 14:45:55,56.54,Unknown
45,2025-04-08 14:45:55,56.75,Unknown
46,2025-04-08 14:45:55,57.37,Unknown
47,2025-04-08 14:45:55,56.69,Unknown
48,2025-04-08 14:45:56,55.76,Unknown
49,2025-04-08 14:45:56,55.14,Unknown
50,2025-04-08 14:45:56,55.98,Unknown
51,2025-04-08 14:45:56,55.95,Unknown
52,2025-04-08 14:45:56,56.0,Unknown
53,2025-04-08 14:45:56,56.49,Unknown
54,2025-04-08 14:45:56,56.42,Unknown
55,2025-04-08 14:45:56,56.21,Unknown
56,2025-04-08 14:45:56,56.61,Unknown
57,2025-04-08 14:45:56,57.12,Unknown
58,2025-04-08 14:45:56,56.39,Unknown
59,2025-04-08 14:45:56,55.82,Unknown
60,2025-04-08 14:45:56,55.84,Unknown
61,2025-04-08 14:45:56,56.2,Unknown
62,2025-04-08 14:45:56,56.51,Unknown
63,2025-04-08 14:45:56,57.25,Unknown
64,2025-04-08 14:45:56,57.09,Unknown
65,2025-04-08 14:45:56,57.08,Unknown
66,2025-04-08 14:45:56,57.1,Unknown
67,2025-04-08 14:45:57,56.05,Unknown
68,2025-04-08 14:45:57,56.84,Unknown
69,2025-04-08 14:45:57,57.85,Unknown
70,2025-04-08 14:45:57,56.49,Unknown
71,2025-04-08 14:45:57,56.01,Unknown
72,2025-04-08 14:45:57,57.32,Unknown
73,2025-04-08 14:45:57,56.87,Unknown
74,2025-04-08 14:45:57,55.95,Unknown
75,2025-04-08 14:45:57,57.37,Unknown
76,2025-04-08 14:45:57,56.97,Unknown
77,2025-04-08 14:45:57,56.5,Unknown
78,2025-04-08 14:45:57,56.86,Unknown
79,2025-04-08 14:45:57,56.69,Unknown
80,2025-04-08 14:45:57,55.65,Unknown
81,2025-04-08 14:45:57,56.74,Unknown
82,2025-04-08 14:45:57,56.81,Unknown
83,2025-04-08 14:45:57,57.15,Unknown
84,2025-04-08 14:45:57,57.2,Unknown
85,2025-04-08 14:45:57,56.29,Unknown
86,2025-04-08 14:45:57,56.19,Unknown
87,2025-04-08 14:45:57,55.89,Unknown
88,2025-04-08 14:45:58,56.97,Unknown
89,2025-04-08 14:45:58,57.41,Unknown
90,2025-04-08 14:45:58,57.4,Unknown
91,2025-04-08 14:45:58,56.51,Unknown
92,2025-04-08 14:45:58,57.75,Unknown
93,2025-04-08 14:45:58,56.14,Unknown
94,2025-04-08 14:45:58,55.56,Unknown
95,2025-04-08 14:45:58,57.38,Unknown
96,2025-04-08 14:45:58,56.66,Unknown
97,2025-04-08 14:45:58,56.25,Unknown
98,2025-04-08 14:45:58,57.33,Unknown
99,2025-04-08 14:45:58,55.94,Unknown
100,2025-04-08 14:45:58,55.38,Unknown
101,2025-04-08 14:45:58,56.02,Unknown
102,2025-04-08 14:45:58,57.04,Unknown
103,2025-04-08 14:45:58,58.89,Unknown
104,2025-04-08 14:45:58,58.0,Unknown
105,2025-04-08 14:45:58,57.28,Unknown
106,2025-04-08 14:45:58,56.71,Unknown
107,2025-04-08 14:45:58,56.51,Unknown
108,2025-04-08 14:45:58,57.89,Unknown
109,2025-04-08 14:45:58,58.99,Unknown
110,2025-04-08 14:45:58,58.53,Unknown
111,2025-04-08 14:45:59,57.87,Unknown
112,2025-04-08 14:45:59,57.93,Unknown
113,2025-04-08 14:45:59,57.56,Unknown
114,2025-04-08 14:45:59,57.48,Unknown
115,2025-04-08 14:45:59,58.52,Unknown
116,2025-04-08 14:45:59,60.2,Unknown
117,2025-04-08 14:45:59,60.14,Unknown
118,2025-04-08 14:45:59,61.87,Unknown
119,2025-04-08 14:45:59,64.19,Unknown
120,2025-04-08 14:45:59,66.48,Unknown
121,2025-04-08 14:45:59,65.11,Unknown
122,2025-04-08 14:45:59,67.91,Unknown
123,2025-04-08 14:45:59,66.8,Unknown
124,2025-04-08 14:45:59,67.3,Unknown
125,2025-04-08 14:45:59,65.26,Unknown
126,2025-04-08 14:45:59,68.29,Unknown
127,2025-04-08 14:45:59,66.76,Unknown
128,2025-04-08 14:45:59,66.11,Unknown
129,2025-04-08 14:45:59,68.46,Unknown
130,2025-04-08 14:45:59,66.31,Unknown
131,2025-04-08 14:45:59,66.29,Unknown
132,2025-04-08 14:45:59,65.63,Unknown
133,2025-04-08 14:45:59,64.0,Unknown
134,2025-04-08 14:46:00,60.23,Unknown
135,2025-04-08 14:46:00,58.53,Unknown
136,2025-04-08 14:46:00,58.07,Unknown
137,2025-04-08 14:46:00,58.55,Unknown
138,2025-04-08 14:46:00,56.34,Unknown
139,2025-04-08 14:46:00,56.3,Unknown
140,2025-04-08 14:46:00,56.15,Unknown
141,2025-04-08 14:46:00,55.78,Unknown
142,2025-04-08 14:46:00,56.19,Unknown
143,2025-04-08 14:46:00,55.25,Unknown
144,2025-04-08 14:46:00,54.83,Unknown
145,2025-04-08 14:46:00,56.18,Unknown
146,2025-04-08 14:46:00,56.03,Unknown
147,2025-04-08 14:46:00,56.87,Unknown
148,2025-04-08 14:46:00,56.03,Unknown
149,2025-04-08 14:46:00,55.64,Unknown
150,2025-04-08 14:46:00,56.71,Unknown
151,2025-04-08 14:46:00,55.84,Unknown
152,2025-04-08 14:46:00,57.13,Unknown
153,2025-04-08 14:46:00,56.42,Unknown
154,2025-04-08 14:46:01,56.2,Unknown
155,2025-04-08 14:46:01,56.7,Unknown
156,2025-04-08 14:46:01,54.6,Unknown
157,2025-04-08 14:46:01,55.14,Unknown
158,2025-04-08 14:46:01,56.09,Unknown
159,2025-04-08 14:46:01,56.34,Unknown
160,2025-04-08 14:46:01,56.29,Unknown
161,2025-04-08 14:46:01,56.7,Unknown
162,2025-04-08 14:46:01,56.78,Unknown
163,2025-04-08 14:46:01,60.44,Unknown
164,2025-04-08 14:46:01,58.07,Unknown
165,2025-04-08 14:46:01,59.36,Unknown
166,2025-04-08 14:46:01,57.04,Unknown
167,2025-04-08 14:46:01,55.7,Unknown
168,2025-04-08 14:46:01,54.29,Unknown
169,2025-04-08 14:46:01,51.77,Unknown
170,2025-04-08 14:46:01,55.45,Unknown
171,2025-04-08 14:46:01,53.56,Unknown
172,2025-04-08 14:46:01,54.22,Unknown
173,2025-04-08 14:46:01,51.61,Unknown
174,2025-04-08 14:46:01,53.02,Unknown
175,2025-04-08 14:46:01,53.39,Unknown
176,2025-04-08 14:46:01,54.18,Unknown
177,2025-04-08 14:46:02,55.69,Unknown
178,2025-04-08 14:46:02,55.27,Unknown
179,2025-04-08 14:46:02,53.25,Unknown
180,2025-04-08 14:46:02,57.24,Unknown
181,2025-04-08 14:46:02,53.21,Unknown
182,2025-04-08 14:46:02,52.85,Unknown
183,2025-04-08 14:46:02,53.29,Unknown
184,2025-04-08 14:46:02,55.0,Unknown
185,2025-04-08 14:46:02,57.2,Unknown
186,2025-04-08 14:46:02,56.06,Unknown
187,2025-04-08 14:46:02,55.27,Unknown
188,2025-04-08 14:46:02,55.16,Unknown
189,2025-04-08 14:46:02,55.44,Unknown
190,2025-04-08 14:46:02,55.82,Unknown
191,2025-04-08 14:46:02,56.72,Unknown
192,2025-04-08 14:46:02,55.05,Unknown
193,2025-04-08 14:46:02,56.87,Unknown
194,2025-04-08 14:46:02,58.66,Unknown
195,2025-04-08 14:46:02,54.54,Unknown
196,2025-04-08 14:46:02,55.86,Unknown
197,2025-04-08 14:46:02,56.14,Unknown
198,2025-04-08 14:46:02,55.57,Unknown
199,2025-04-08 14:46:03,58.39,Unknown
200,2025-04-08 14:46:03,57.98,Unknown
201,2025-04-08 14:46:03,59.0,Unknown
202,2025-04-08 14:46:03,58.9,Unknown
203,2025-04-08 14:46:03,58.05,Unknown
204,2025-04-08 14:46:03,56.4,Unknown
205,2025-04-08 14:46:03,55.83,Unknown
206,2025-04-08 14:46:03,56.83,Unknown
207,2025-04-08 14:46:03,55.4,Unknown
208,2025-04-08 14:46:03,55.24,Unknown
209,2025-04-08 14:46:03,54.72,Unknown
210,2025-04-08 14:46:03,54.55,Unknown
211,2025-04-08 14:46:03,54.67,Unknown
212,2025-04-08 14:46:03,54.21,Unknown
213,2025-04-08 14:46:03,53.87,Unknown
214,2025-04-08 14:46:03,53.08,Unknown
215,2025-04-08 14:46:03,56.48,Unknown
216,2025-04-08 14:46:03,52.87,Unknown
217,2025-04-08 14:46:03,52.24,Unknown
218,2025-04-08 14:46:03,51.43,Unknown
219,2025-04-08 14:46:03,52.7,Unknown
220,2025-04-08 14:46:03,51.7,Unknown
221,2025-04-08 14:46:03,52.37,Unknown
222,2025-04-08 14:46:03,53.63,Unknown
223,2025-04-08 14:46:03,52.41,Unknown
224,2025-04-08 14:46:04,52.43,Unknown
225,2025-04-08 14:46:04,50.72,Unknown
226,2025-04-08 14:46:04,51.8,Unknown
227,2025-04-08 14:46:04,52.82,Unknown
228,2025-04-08 14:46:04,51.98,Unknown
229,2025-04-08 14:46:04,52.86,Unknown
230,2025-04-08 14:46:04,51.84,Unknown
231,2025-04-08 14:46:04,53.64,Unknown
232,2025-04-08 14:46:04,52.93,Unknown
233,2025-04-08 14:46:04,53.16,Unknown
234,2025-04-08 14:46:04,54.35,Unknown
235,2025-04-08 14:46:04,53.32,Unknown
236,2025-04-08 14:46:04,53.23,Unknown
237,2025-04-08 14:46:04,53.72,Unknown
238,2025-04-08 14:46:04,53.16,Unknown
239,2025-04-08 14:46:04,55.16,Unknown
240,2025-04-08 14:46:04,54.11,Unknown
241,2025-04-08 14:46:04,53.56,Unknown
242,2025-04-08 14:46:04,53.69,Unknown
243,2025-04-08 14:46:04,54.03,Unknown
244,2025-04-08 14:46:04,53.1,Unknown
245,2025-04-08 14:46:04,52.21,Unknown
246,2025-04-08 14:46:04,53.9,Unknown
247,2025-04-08 14:46:04,53.21,Unknown
248,2025-04-08 14:46:04,52.66,Unknown
249,2025-04-08 14:46:05,54.38,Unknown
250,2025-04-08 14:46:05,54.81,Unknown
251,2025-04-08 14:46:05,54.02,Unknown
252,2025-04-08 14:46:05,55.06,Unknown
253,2025-04-08 14:46:05,56.02,Unknown
254,2025-04-08 14:46:05,56.05,Unknown
255,2025-04-08 14:46:05,53.76,Unknown
256,2025-04-08 14:46:05,53.44,Unknown
257,2025-04-08 14:46:05,54.79,Unknown
